1,Andaman & Nicobar Islands,266,0,0,0,266,62037,62037,266,0
2,Andhra Pradesh,18578,774,72705,0,17804,9496510,6269307,3881,13923
3,Arunachal Pradesh,5509,856,19592,0,4653,209904,154222,2989,1664
4,Assam,25335,5164,487015,0,20171,6074072,2596582,3516,16655
5,Bihar,39036,199,66784,0,38837,16630417,15976795,34619,4218
6,Chhattisgarh,19682,5846,922295,0,13836,4083791,1606346,427,13409
7,Dadra & Nagar Haveli and Daman & Diu,96,0,0,0,96,85156,85156,96,0
8,Goa,378,0,0,0,378,263013,263013,378,0
9,Gujarat,18187,0,0,0,18187,9173378,9173378,18187,0
10,Haryana,6713,0,0,0,6713,3041314,3041314,6713,0
11,Himachal Pradesh,18105,31,3229,0,18074,1715599,1648777,16027,2047
12,Jammu & Kashmir,6887,10,1004,0,6877,1834186,1063256,1123,5754
13,Jharkhand,29604,11408,1441848,0,18196,4679701,1514575,775,17421
14,Karnataka,28335,143,10108,0,28192,10107665,5848360,5070,23122
15,Kerala,1578,0,0,0,1578,7062706,3134465,62,1516
16,Ladakh,250,0,0,0,250,42651,29799,40,210
17,Madhya Pradesh,51548,11246,1460160,0,40302,10545715,5413105,6831,33471
18,Maharashtra,40327,2338,353797,0,37989,14231028,10446030,13772,24217
19,Manipur,2556,0,0,0,2556,451566,336021,419,2137
20,Meghalaya,6491,1431,87898,0,5060,542467,263767,1575,3485
21,Mizoram,686,17,1369,0,669,132659,93062,221,448
22,Nagaland,1499,75,10780,0,1424,366506,202626,365,1059
23,Odisha,47293,12469,1080251,0,34824,7777198,4746980,10096,24728
24,Puducherry,246,0,0,0,246,114948,114948,246,0
25,Punjab,11972,0,0,0,11972,3425948,3423718,11933,39
26,Rajasthan,43364,13781,2328107,0,29583,8246072,3025546,1786,27797
27,Sikkim,439,6,771,0,433,131109,94481,93,340
28,Tamil Nadu,12525,0,0,0,12525,12497553,7074617,2907,9618
29,Telangana,10450,0,0,0,10450,5386962,5386962,10450,0
30,Tripura,1176,0,0,0,1176,741945,406053,47,1129
31,Uttar Pradesh,97568,50070,10037129,0,47498,16391926,5312906,6849,40649
32,Uttarakhand,15041,193,17979,0,14848,1476418,1009152,2863,11985
33,West Bengal,39179,15375,4785100,0,23804,13300177,5024990,3769,20035
